2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.501809 Table user Column id db default is nextval('user_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.502265 Table user Column max_repo_creation db default is '-1'::integer, struct default is -1
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.507622 Table public_key Column id db default is nextval('public_key_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.513487 Table two_factor Column id db default is nextval('two_factor_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.519356 Table two_factor_recovery_code Column id db default is nextval('two_factor_recovery_code_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.526833 Table repository Column id db default is nextval('repository_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.532536 Table deploy_key Column id db default is nextval('deploy_key_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.534300 Table collaboration Column id db default is nextval('collaboration_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.535964 Table upload Column id db default is nextval('upload_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.537468 Table watch Column id db default is nextval('watch_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.539092 Table star Column id db default is nextval('star_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.540751 Table follow Column id db default is nextval('follow_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.542681 Table action Column id db default is nextval('action_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.544675 Table issue Column id db default is nextval('issue_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.546569 Table pull_request Column id db default is nextval('pull_request_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.548370 Table comment Column id db default is nextval('comment_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.550332 Table attachment Column id db default is nextval('attachment_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.552354 Table issue_user Column id db default is nextval('issue_user_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.554005 Table label Column id db default is nextval('label_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.555494 Table issue_label Column id db default is nextval('issue_label_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.557191 Table milestone Column id db default is nextval('milestone_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.558769 Table mirror Column id db default is nextval('mirror_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.560574 Table release Column id db default is nextval('release_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.562475 Table webhook Column id db default is nextval('webhook_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.564448 Table hook_task Column id db default is nextval('hook_task_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.566181 Table protect_branch Column id db default is nextval('protect_branch_id_seq'::regclass), struct default is 
2021/08/06 14:51:56 [xorm] [warn]  2021/08/06 14:51:56.567755 Table protect_branch_whitelist Column id db default is nextval('protect_branch_whitelist_id_seq'::regclass), struct default is 
